Name,Brand,Gender,Notes
Eau de Guerlain,Guerlain,Men And Women,Lemon / Bergamot / Basil / Petitgrain / Caraway/ Rose / Jasmin / Patchouli / Carnation / Sandal/ Amber / Moss / Musk
Eau de Cologne ImpEriale,Guerlain,Men And Women,Bergamot / Neroli / Verbena / Lemon / Orange/ Lavender/ Cedarwood / Tonka Bean
Habit Rouge,Guerlain,Men,Bergamot / Lemon / Rosewood / Basil / Pimento/ Sandal / Carnation / Patchouli / Cedar / Rose / Cinnamon/ Vanilla / Amber / Moss / Leather / Benzoin / Labdanum / Olibanum
HEritage,Guerlain,Men,Lemon / Lavender / Bergamot/ Coriander / Pink peppercorn/ Patchouli / Cerdarwood / Tonka beans / Vanilla
Jicky,Guerlain,Men And Women,Lemon / Mandarin / Bergamot / Rosewood/ Orris / Jasmin / Patchouli / Rose / Vetiver/ Leather / Amber / Civet / Tonka / Incense / Benzoin
Vetiver,Guerlain,Men,Bergamot / Lemon / Mandarin / Neroli / Coriander/ Vetiver / Cedar/ Tobacco / Nutmeg / Pepper / Tonka bean / Capiscum
Vetiver Eau GlacEe,Guerlain,Men,Lime / Orange / Bergamot/ Neroli / Pepper / Nutmeg/ Tonka / Vetiver
Love is all,Guerlain,Women,Mandarin / Pink pepper/ Orange Blossom / Mimosa / Petals / Iris/ Wood notes / Amber
Lights of Champs-ElysEes,Guerlain,Women,Almond flower / Pink peppercorns/ Mimosa / Iris wood / Ylang-ylang/ Vetiver / Vanilla / Virginia Cedar
Vetiver Extreme,Guerlain,Men,Lemon / Bergamot / Artemisia/ Olibanum / Pepper / Nutmeg/ Tonka bean / VEtiver / Cedar
L'Instant d'un EtE pour Homme,Guerlain,Men,Neroli / Star Anise crystals / Yellow and green lemon / Grapefruit / Pink pepper / Elem/ Patchouli / Cedarwood / Mysore Sandalwood/ Bitter Cocoa Beans / Hibiscus seeds / Tea
L'Instant d'un EtE,Guerlain,Women,Grapefruit / Bitter Orange/ Magnolia / Ylang-ylang / Sambac Jasmine/ Vanilla / Benzoin / Musks / Amber
Nuit d'Amour,Guerlain,Women,Bay Rose / Aldehydes/ May Rose / Iris/ Powdery Notes / Sandalwood
My Insolence,Guerlain,Women,Raspberry/ Almond Blossom / Jasmine/ Patchouli / Vanilla / Tonka Bean
Cruel Gardenia,Guerlain,Women,Peach / Neroli / Damask Rose/ Ylang-ylang / Gardenia / White Musk / Violet/ Tonka Bean / Sandalwood
Les Elixirs Charnels - Oriental Brulant,Guerlain,Women,White almond/ Vanilla/ Styrax / Tonka bean
Les Secrets de Sophie,Guerlain,Women,Petitgrain / Bigarade Orange / Tunisian Neroli / Bergamot/ Orange Blossom / Jasmine / Violet leaves / Ylang-ylang/ Tonka bean / Incense / Vanilla / White Musk
Idylle,Guerlain,Women,Lily of the valley / Lilac / Peony / Freesia / Jasmine/ Bulgarian roses / Plessis robinson rose/ Patchouli / White musk
Arsene Lupin Dandy,Guerlain,Men,Bergamot / Bigarade / Pink peppercorn / Cardamom/ Sandalwood / Patchouli/ Cistus / Olibanum
Shalimar Parfum Initial,Guerlain,Women,Bergamot / Orange / Green notes/ Fruity notes / Rose / Jasmine / Iris/ Patchouli / Vetiver / Vanilla / Tonka bean / White musk
"Une Ville, un Parfum : Moscow",Guerlain,Men And Women,Pine needles / Absinthe / Plum / Redcurrant / Bergamot / Lemon/ Jasmine/ Tonka bean / Sandalwood / Vanilla / White musk
"Une Ville, un Parfum : New York",Guerlain,Men And Women,Bergamot/ Cinnamon / Cardamom/ Cedar / Vanilla
"Une Ville, un Parfum : Tokyo",Guerlain,Men And Women,Green tea/ Jasmine / Violet/ Vanilla / Hinoki
"Une Ville, un Parfum : London",Guerlain,Men And Women,Bergamot / Rhubarb / Grapefruit/ Cardamom / Rose / Violet/ Vetiver / Black tea / White cedar
Aqua Allegoria Flora NymphEa,Guerlain,Women,Citrus notes / Green accents / Wild Berries/ Orange Blossom / Syringa / Honey/ Wood / Musk
Cherry Blossom Delight,Guerlain,Women,Bergamot/ Cherry Blossom/ Green Tea
L'Instant Magic Elixir,Guerlain,Women,Bergamot / Flowery notes/ Cedar / Sandalwood / Musk/ Vanilla / Almonds
Les Elixirs Charnels - BoisE Torride,Guerlain,Women,Bergamot / Tangerine / Pink berries/ Marshmallow / Orange blossom / Jasmine/ Patchouli / White musk / Cedar
Mon Precieux Nectar,Guerlain,Women,Petitgrain / Bitter almond/ Jasmine / Orange blossom/ Woods / Incense / Vanilla / White musk
Shalimar Ode a la Vanille,Guerlain,Women,Lemon / Bergamot/ Mayotte vanilla / Madagascar vanilla / rose / Jasmine / Iris/ incense / Opoponax / Tonka bean
Aqua Allegoria Jasminora,Guerlain,Women,Galbanum / Bergamot/ Cyclamen / Jasmine / Lily of the valley/ Musk / Amber
Myrrhe et DElires,Guerlain,Men And Women,Citrus / Pepper/ Patchouli / Somalian myrrh / Iris / Violet / Peach / Rose / Jasmine/ Musk / Woody amber / Frankincense
Guerlain Homme L'Eau BoisEe,Guerlain,Men,Lime / Mint/ Rum/ Woods / Vetiver
Habit Rouge L'Eau,Guerlain,Men,Seville Orange / Hazelnut/ Jasmine/ Woody Notes / Vanilla
Idylle Eau Sublime,Guerlain,Women,Rosewater / Lychee/ Rose / Jasmine / Peach/ Patchouli / White Musk
Shalimar Parfum Initial L'Eau,Guerlain,Women,Orange / Bergamot / Grapefruit / Neroli/ Damascena rose / Jasmine / Iris/ Vanilla / Tonka bean
Shalimar Parfum Initial L'Eau,Guerlain,Women,Orange / Bergamot / Grapefruit / Neroli/ Damascena rose / Jasmine / Iris/ Vanilla / Tonka bean
Les Elixirs Charnels - Floral Romantique,Guerlain,Women,Mandarin / Orange / Jasmine/ Ylang-ylang / TiarE flower / Carnation / Lily/ Cedar / Chestnut / Ambrette / MatE
La Petite Robe Noire 2012,Guerlain,Women,Black cherry / Bergamot / Red berries / Almond/ Bulgarian rose / Turkish rose / Licorice / Smoked black tea/ Aniseed / Tonka bean / Vanilla / Iris / Patchouli
Eau de Shalimar,Guerlain,Women,Orange / Bergamot / Lime/ Rose / Jasmine/ Vanilla / Iris / Resin
Muguet 2012,Guerlain,Women,Green Notes/ Lilac / Lily of the Valley/ Jasmine / Rose
Les DEserts d'Orient - Encens Mythique d'Orient,Guerlain,Men And Women,Aldehydes / Rose / Saffron/ Patchouli / Vetiver/ Ambergris / Moss / Frankincense
Les DEserts d'Orient - Rose NacrEe du Desert,Guerlain,Men And Women,Patchouli / Saffron/ Cardamom / Curcuma / Oud/ Benzoin / Myrrh
Les DEserts d'Orient - Songe d'un Bois d'EtE,Guerlain,Men And Women,Laurel / Neroli/ Jasmine / Patchouli / Saffron / Cedar/ Leather / Myrrh
Le Bolshoi Saison 2012 La Traviata,Guerlain,Women,Bergamot / Petitgrain / Orange / Neroli/ Jasmine / Violet/ Vanilla / Tonka bean / Incense / White musk
La Petite Robe Noire Eau De Toilette,Guerlain,Women,Rose / Jasmine / Orange blossom/ Cherry / Apple / Blackcurrant / Green notes/ White amber / Musk notes
Amazone (original),Hermes,Women,Bergamot / Geranium / Cassie / Hyacinth/ Muguet / Orris / Rose / Jasmin/ Cedarwood / Oakmoss / Vetiver / Amber
Bel Ami,Hermes,Men,Lemon/ Ylang-Ylang / Iris/ Vanilla / Sandalwood / Vetiver
Eau d'Orange Verte,Hermes,Men And Women,Lemon / Mandarin/ Papaya / Mango/ Oakmoss / Patchouli
Equipage,Hermes,Men,Rosewood / Bergamot / Lily of the Valley/ Carnation / Jasmine / Pine/ Tonka / Vetiver / Patchouli
Rocabar,Hermes,Men,Juniper Berry / Cedar Needles / Lavender / Nutmeg / Cinnamon/ Cypress / Atlas Cedar / Virginia Cedar/ Basalm / Vanilla
Eau des Merveilles,Hermes,Women,Vetiver / Oak / Cedar/ Ambergris/ Lemon / Orange / Elemi / Pink Pepper
Un Jardin sur le Nil,Hermes,Men And Women,Green Mango / Grapefruit/ Calamus / Lotus/ Sycamore / Frankincense
Terre d'Hermes Parfum,Hermes,Men,Grapefruit / Orange / Shiso/ Flint accord/ Woody notes
Eau Claire des Merveilles,Hermes,Women,Citrus / Aldehydes/ Floral notes / Spices/ Vanilla / Powder / Driftwood
Hermessence Santal Massoia,Hermes,Men And Women,Green Fig/ Sandalwood / Massoia bark / Coconut/ Sandalwood / Vetiver
Eau des Merveilles Au Bal des Etoiles,Hermes,Women,Bitter orange/ Pepper / Oak/ Ambergris / Amber
Eau de Mandarine AmbrEe,Hermes,Men And Women,Mandarin/ Passion fruit/ Amber
Joy,Jean Patou,Women,Aldehydes / Peach / Leafy Green/ Rose / Jasmine / Ylang-Ylang / Tuberose/ Sandalwood / Musk / Civet
Enjoy,Jean Patou,Women,Cassis / Green Banana / Orange / Bergamot / Pear / Mandarin/ Bulgarian Rose / Turkish Rose / Hedione / Indian Jasmine/ Patchouli / Musk / Vanilla / Amber
Patou pour Homme,Jean Patou,Men,Hot Pepper / Lavender / Tarragon / Black Pepper / Bergamot / Galbanum/ Bourbon Vetiver / Cedar / Patchouli / Clary Sage/ Oakmoss / Sandalwood / Mysore / Cistus Labdanum
Voyageur,Jean Patou,Men,Grapefruit / Orange/ Lavender / Sage/ Cedarwood / Sandalwood / Oakmoss
Sira des Indes,Jean Patou,Women,Banana accords / Bergamot / Pear / Pink berries / Cardamom/ Floral notes/ Musk / Amber / Vanilla / Sandalwood
Eau de Patou pour Homme,Jean Patou,Men,Petitgrain / Orange / Sicilian lemon / Lime/ Honeysuckle / Pepper / Tunisian orange blossom / Ylang ylang / Nasturcia/ Amber / Musk / Civet / Oak moss
Clair de Musc,Serge Lutens Les Salons du Palais Royal Shiseido,Women,Musk / Bergamot / Neroli / Tuscan iris/ / 
